,schedule_date,schedule_season,schedule_week,team_home,team_away,team_favorite_id,spread_favorite,over_under_line,weather_temperature,weather_wind_mph,score_home,score_away,stadium_neutral,home_favorite,away_favorite,over,neutral,playoff,elo1_pre,elo2_pre,qbelo_prob1,result
0,1979-09-01,1979,1,TB,DET,TB,-3.0,30.0,79.0,9.0,31.0,16.0,0,1.0,0.0,1.0,0.0,,1385.204,1487.039,0.430676014214,1
1,1979-09-02,1979,1,BUF,MIA,MIA,-5.0,39.0,74.0,15.0,7.0,9.0,0,0.0,1.0,0.0,0.0,,1422.82,1573.513,0.372621078813,0
2,1979-09-02,1979,1,CHI,GB,CHI,-3.0,31.0,78.0,11.0,6.0,3.0,0,1.0,0.0,0.0,0.0,,1485.806,1462.502,0.607866833974,1
3,1979-09-02,1979,1,DEN,CIN,DEN,-3.0,31.5,69.0,6.0,10.0,0.0,0,1.0,0.0,0.0,0.0,,1579.121,1491.38,0.674277605512,1
4,1979-09-02,1979,1,KC,IND,KC,-1.0,37.0,76.0,8.0,14.0,0.0,0,1.0,0.0,0.0,0.0,,1408.082,1420.16,0.508839464164,1
5,1979-09-02,1979,1,LAR,LVR,LAR,-4.0,36.5,70.0,10.0,17.0,24.0,0,1.0,0.0,1.0,,,,,,0
6,1979-09-02,1979,1,MIN,SF,MIN,-7.0,32.0,70.0,11.0,28.0,22.0,0,1.0,0.0,1.0,0.0,,1501.07,1376.895,0.716953758657,1
7,1979-09-02,1979,1,NO,ATL,NO,-5.0,32.0,72.0,0.0,34.0,40.0,0,1.0,0.0,1.0,0.0,,1454.541,1472.748,0.571937149322,0
8,1979-09-02,1979,1,NYJ,CLE,NYJ,-2.0,41.0,73.0,10.0,22.0,25.0,0,1.0,0.0,1.0,0.0,,1486.703,1483.734,0.565826102164,0
9,1979-09-02,1979,1,PHI,NYG,PHI,-7.0,31.5,76.0,9.0,23.0,17.0,0,1.0,0.0,1.0,0.0,,1516.285,1435.862,0.688222449541,1
10,1979-09-02,1979,1,SEA,LAC,SEA,-2.0,42.5,72.0,0.0,16.0,33.0,0,1.0,0.0,1.0,0.0,,1489.929,1550.894,0.492999231005,0
11,1979-09-02,1979,1,ARI,DAL,DAL,-4.0,37.0,76.0,7.0,21.0,22.0,0,0.0,1.0,1.0,0.0,,1483.233,1665.557,0.3169362472,0
12,1979-09-02,1979,1,WAS,TEN,TEN,-4.0,33.0,80.0,11.0,27.0,29.0,0,0.0,1.0,1.0,0.0,,1469.366,1567.37,0.436879637912,0
