,schedule_date,schedule_season,schedule_week,team_home,team_away,team_favorite_id,spread_favorite,over_under_line,weather_temperature,weather_wind_mph,score_home,score_away,stadium_neutral,home_favorite,away_favorite,hm_avg_pts_diff,aw_avg_pts_diff,elo1_pre,elo2_pre,qbelo_prob1,over,result
14,1979-09-06,1979,2,DEN,LAR,DEN,-2.0,31.5,67.0,8.0,9,13,0,1.0,0.0,10.0,-7.0,1592.275,1544.396,0.645891285584,0.0,0
15,1979-09-09,1979,2,IND,TB,PICK,0.0,33.0,64.0,8.0,26,29,0,0.0,0.0,-14.0,15.0,1397.713,1416.381,0.53315073801,1.0,0
16,1979-09-09,1979,2,BUF,CIN,CIN,-3.0,34.0,54.0,7.0,51,24,0,0.0,1.0,-2.0,-10.0,1414.802,1478.226,0.474937114234,1.0,1
17,1979-09-09,1979,2,CHI,MIN,CHI,-6.0,31.5,60.0,11.0,26,7,0,1.0,0.0,3.0,6.0,1495.817,1510.094,0.567899507513,1.0,1
18,1979-09-09,1979,2,DET,WAS,PICK,0.0,35.5,72.0,0.0,24,27,0,0.0,0.0,-15.0,-2.0,1455.863,1459.567,0.493688111404,1.0,0
19,1979-09-09,1979,2,GB,NO,GB,-3.0,35.0,60.0,13.0,28,19,0,1.0,0.0,-3.0,-6.0,1452.49,1431.997,0.611216044111,1.0,1
20,1979-09-09,1979,2,KC,CLE,PICK,0.0,36.0,71.0,14.0,24,27,0,0.0,0.0,14.0,3.0,1430.529,1500.802,0.480420294687,1.0,0
21,1979-09-09,1979,2,MIA,SEA,MIA,-7.0,40.5,81.0,13.0,19,10,0,1.0,0.0,2.0,-17.0,1581.531,1460.636,0.734353932012,0.0,1
22,1979-09-09,1979,2,NE,NYJ,NE,-8.0,42.0,59.0,12.0,56,3,0,1.0,0.0,-3.0,-3.0,1538.951,1469.634,0.642012781799,1.0,1
23,1979-09-09,1979,2,NYG,ARI,ARI,-3.0,36.0,63.0,13.0,14,27,0,0.0,1.0,-6.0,-1.0,1424.832,1478.794,0.514806021436,1.0,0
24,1979-09-09,1979,2,PIT,TEN,PIT,-6.0,37.0,55.0,6.0,38,7,0,1.0,0.0,3.0,2.0,1687.782,1577.169,0.736662152887,1.0,1
26,1979-09-09,1979,2,SF,DAL,DAL,-13.0,39.0,65.0,15.0,13,21,0,0.0,1.0,-6.0,1.0,1367.871,1669.996,0.19552545893,0.0,0
27,1979-09-10,1979,2,PHI,ATL,PHI,-4.0,35.5,65.0,7.0,10,14,0,1.0,0.0,6.0,6.0,1527.314,1495.292,0.624739349187,0.0,0
28,1979-09-16,1979,3,ATL,DEN,DEN,-3.0,32.0,71.0,15.0,17,20,0,0.0,1.0,5.0,3.0,1516.712,1569.985,0.523517637615,1.0,0
29,1979-09-16,1979,3,CIN,NE,NE,-6.0,41.0,58.0,7.0,14,20,0,0.0,1.0,-18.5,25.0,1445.079,1562.695,0.39762123601,0.0,0
30,1979-09-16,1979,3,CLE,IND,CLE,-7.0,42.0,59.0,9.0,13,10,0,1.0,0.0,3.0,-8.5,1514.422,1381.675,0.767867803627,0.0,1
31,1979-09-16,1979,3,DAL,CHI,DAL,-9.0,37.0,68.0,8.0,24,20,0,1.0,0.0,4.5,11.0,1678.066,1520.855,0.81733931001,1.0,1
32,1979-09-16,1979,3,GB,TB,GB,-2.0,36.0,60.0,9.0,10,21,0,1.0,0.0,3.0,9.0,1469.308,1432.419,0.641036933743,0.0,0
33,1979-09-16,1979,3,TEN,KC,TEN,-5.0,37.0,72.0,0.0,20,6,0,1.0,0.0,-14.5,5.5,1560.042,1416.909,0.737951469615,0.0,1
34,1979-09-16,1979,3,LAR,SF,LAR,-13.0,39.0,83.0,8.0,27,24,0,1.0,0.0,-1.5,-7.0,1566.687,1359.801,0.812240333912,1.0,1
35,1979-09-16,1979,3,MIN,MIA,MIA,-7.0,37.0,64.0,11.0,12,27,0,0.0,1.0,-6.5,5.5,1485.057,1592.376,0.432023037704,1.0,0
36,1979-09-16,1979,3,NO,PHI,NO,-3.0,42.0,72.0,0.0,14,26,0,1.0,0.0,-7.5,1.0,1415.179,1505.894,0.455162277203,0.0,0
37,1979-09-16,1979,3,NYJ,DET,NYJ,-6.0,42.0,65.0,10.0,31,10,0,1.0,0.0,-28.0,-9.0,1445.89,1439.112,0.659436681862,0.0,1
38,1979-09-16,1979,3,LAC,BUF,LAC,-9.0,44.0,79.0,8.0,27,19,0,1.0,0.0,18.5,12.5,1603.403,1447.949,0.780982809086,1.0,1
40,1979-09-16,1979,3,ARI,PIT,PIT,-6.0,40.0,63.0,5.0,21,24,0,0.0,1.0,6.0,17.0,1506.16,1704.908,0.305767049559,1.0,0
41,1979-09-17,1979,3,WAS,NYG,WAS,-6.0,37.0,68.0,6.0,27,0,0,1.0,0.0,0.5,-9.5,1476.317,1397.466,0.703896225054,0.0,1
42,1979-09-23,1979,4,BUF,NYJ,BUF,-3.0,42.0,50.0,9.0,46,31,0,1.0,0.0,5.666666666666667,-11.666666666666666,1439.185,1469.727,0.551860610557,1.0,1
43,1979-09-23,1979,4,CIN,TEN,TEN,-3.0,37.0,56.0,11.0,27,30,0,0.0,1.0,-14.333333333333334,-5.0,1428.93,1571.512,0.316900508,1.0,0
44,1979-09-23,1979,4,DEN,SEA,DEN,-6.0,37.0,69.0,9.0,37,34,0,1.0,0.0,3.0,-3.0,1584.392,1481.869,0.718372485834,1.0,1
45,1979-09-23,1979,4,DET,ATL,ATL,-6.0,37.0,72.0,0.0,24,23,0,0.0,1.0,-13.0,2.3333333333333335,1415.276,1502.305,0.387127655421,1.0,1
47,1979-09-23,1979,4,MIA,CHI,MIA,-6.0,37.0,79.0,8.0,31,16,0,1.0,0.0,8.666666666666666,6.0,1616.281,1514.49,0.69220226931,1.0,1
48,1979-09-23,1979,4,MIN,GB,MIN,-1.0,34.0,59.0,14.0,27,21,0,1.0,0.0,-9.333333333333334,-1.6666666666666667,1461.151,1435.823,0.586534665811,1.0,1
49,1979-09-23,1979,4,NE,LAC,NE,-3.0,44.0,55.0,14.0,27,21,0,1.0,0.0,18.666666666666668,15.0,1578.843,1612.167,0.565442479725,1.0,1
50,1979-09-23,1979,4,NYG,PHI,PHI,-5.0,37.0,61.0,16.0,13,17,0,0.0,1.0,-15.333333333333334,4.666666666666667,1378.446,1529.374,0.33359523646,0.0,0
51,1979-09-23,1979,4,PIT,IND,PIT,-14.0,38.0,54.0,10.0,17,13,0,1.0,0.0,12.333333333333334,-6.666666666666667,1713.181,1375.502,0.911482949391,0.0,1
52,1979-09-23,1979,4,SF,NO,PICK,0.0,42.0,62.0,9.0,21,30,0,0.0,0.0,-5.666666666666667,-9.0,1355.534,1391.699,0.56863649477,1.0,0
53,1979-09-23,1979,4,ARI,WAS,ARI,-3.0,39.0,61.0,8.0,7,17,0,1.0,0.0,3.0,9.333333333333334,1497.888,1495.337,0.576145788792,0.0,0
54,1979-09-23,1979,4,TB,LAR,LAR,-3.0,35.0,82.0,8.0,21,6,0,0.0,1.0,9.666666666666666,0.0,1465.904,1570.953,0.4214600302,0.0,1
55,1979-09-24,1979,4,CLE,DAL,DAL,-3.0,40.0,56.0,8.0,26,7,0,0.0,1.0,3.0,4.333333333333333,1520.594,1684.43,0.325270194957,0.0,1
56,1979-09-30,1979,5,ATL,WAS,ATL,-3.0,37.0,72.0,8.0,7,16,0,1.0,0.0,1.5,9.5,1494.86,1524.826,0.54311834746,0.0,0
57,1979-09-30,1979,5,IND,BUF,IND,-2.0,42.0,71.0,7.0,13,31,0,1.0,0.0,-6.0,8.0,1373.063,1463.785,0.39037386431,1.0,0
58,1979-09-30,1979,5,CHI,TB,CHI,-1.0,34.0,67.0,9.0,13,17,0,1.0,0.0,0.75,11.0,1500.22,1497.385,0.565714605828,0.0,0
59,1979-09-30,1979,5,DAL,CIN,DAL,-10.0,40.0,79.0,5.0,38,13,0,1.0,0.0,-1.5,-11.5,1644.374,1418.481,0.846343312403,1.0,1
60,1979-09-30,1979,5,DET,MIN,DET,-3.0,39.0,72.0,0.0,10,13,0,1.0,0.0,-9.5,-5.5,1422.721,1475.09,0.481320896736,0.0,0
61,1979-09-30,1979,5,TEN,CLE,TEN,-6.0,39.0,72.0,0.0,31,10,0,1.0,0.0,-3.0,7.0,1581.962,1560.65,0.582033570886,1.0,1
62,1979-09-30,1979,5,LAR,ARI,LAR,-6.0,38.0,65.0,10.0,21,0,0,1.0,0.0,-3.75,-0.25,1539.473,1468.399,0.67625739647,0.0,1
63,1979-09-30,1979,5,NO,NYG,NO,-6.0,39.0,72.0,0.0,24,14,0,1.0,0.0,-4.5,-12.5,1416.963,1366.711,0.680805613728,0.0,1
64,1979-09-30,1979,5,NYJ,MIA,MIA,-4.0,43.0,67.0,13.0,33,27,0,0.0,1.0,-12.5,10.25,1445.127,1630.551,0.350892125068,1.0,1
66,1979-09-30,1979,5,PHI,PIT,PIT,-4.0,36.0,68.0,12.0,17,14,0,0.0,1.0,4.5,10.25,1541.109,1715.62,0.340528711466,0.0,1
67,1979-09-30,1979,5,LAC,SF,LAC,-13.0,44.0,72.0,11.0,31,9,0,1.0,0.0,9.75,-6.5,1594.729,1330.271,0.85016173984,0.0,1
68,1979-09-30,1979,5,SEA,KC,SEA,-6.0,43.0,72.0,0.0,6,24,0,1.0,0.0,-3.0,6.25,1474.758,1444.222,0.644529662023,0.0,0
69,1979-10-01,1979,5,GB,NE,NE,-7.0,39.0,52.0,7.0,27,14,0,0.0,1.0,-2.75,15.5,1421.884,1596.282,0.341813571087,1.0,1
70,1979-10-07,1979,6,ATL,GB,ATL,-6.0,35.0,62.0,13.0,25,7,0,1.0,0.0,-0.6,0.4,1469.11,1458.122,0.573112251095,0.0,1
71,1979-10-07,1979,6,IND,NYJ,NYJ,-3.0,42.0,57.0,14.0,10,8,0,0.0,1.0,-8.4,-8.8,1346.11,1472.575,0.389345671405,0.0,1
72,1979-10-07,1979,6,BUF,CHI,BUF,-5.0,40.0,50.0,21.0,0,7,0,1.0,0.0,10.0,-0.2,1490.738,1480.412,0.636434915176,0.0,0
73,1979-10-07,1979,6,CIN,KC,PICK,0.0,38.0,49.0,14.0,7,10,0,0.0,0.0,-14.2,8.6,1409.398,1483.26,0.492741329222,0.0,0
74,1979-10-07,1979,6,CLE,PIT,PIT,-4.0,36.0,48.0,17.0,35,51,0,0.0,1.0,1.4,7.6,1538.148,1696.578,0.360109498039,1.0,0
75,1979-10-07,1979,6,DEN,LAC,LAC,-1.0,37.0,67.0,11.0,7,0,0,0.0,1.0,-2.4,12.2,1553.855,1601.846,0.505806349583,0.0,1
76,1979-10-07,1979,6,TEN,ARI,TEN,-7.0,39.0,72.0,0.0,17,24,0,1.0,0.0,1.8,-4.4,1604.465,1450.141,0.77296420883,1.0,0
77,1979-10-07,1979,6,MIN,DAL,DAL,-7.0,39.0,43.0,5.0,20,36,0,0.0,1.0,-3.8,3.8,1489.54,1653.457,0.335614812269,1.0,0
78,1979-10-07,1979,6,NE,DET,NE,-13.0,40.0,56.0,13.0,24,17,0,1.0,0.0,9.8,-8.2,1560.044,1408.271,0.795265046858,1.0,1
79,1979-10-07,1979,6,NO,LAR,LAR,-4.0,39.0,72.0,0.0,17,35,0,0.0,1.0,-1.6,1.2,1432.455,1557.731,0.40172657604,1.0,0
80,1979-10-07,1979,6,NYG,TB,TB,-6.0,34.0,60.0,16.0,17,14,0,0.0,1.0,-12.0,9.6,1351.219,1517.193,0.348572602354,0.0,1
81,1979-10-07,1979,6,PHI,WAS,PHI,-1.0,37.0,57.0,14.0,28,17,0,1.0,0.0,4.2,9.4,1560.15,1550.576,0.582586326893,1.0,1
